log_date,sleep_hours,focus_hours,planned_tasks,completed_tasks,energy,mood,stress,exercise_minutes,water_intake,recreational_screen_time,flow_state,completion_rate,recovery_score,capacity_score,focus_investment_score,execution_score,productivity_score,sustainability_score,flowstate_index,performance_label,notes,year,quarter,month,month_name,week,day,weekday,is_weekend,task_gap,task_completion_flag,focus_screen_ratio,focus_per_task,screen_per_task,exercise_per_task,sleep_target_met,hydration_target_met,exercise_target_met,deep_focus_day,high_stress_day,high_energy_day,good_mood_day,flow_day,flowstate_index_7d_avg,flowstate_index_30d_avg,productivity_score_7d_avg,productivity_score_30d_avg,recovery_score_7d_avg,recovery_score_30d_avg,capacity_score_7d_avg,capacity_score_30d_avg,execution_score_7d_avg,execution_score_30d_avg,focus_investment_score_7d_avg,focus_investment_score_30d_avg,sleep_hours_7d_avg,sleep_hours_30d_avg,focus_hours_7d_avg,focus_hours_30d_avg,completed_tasks_7d_avg,completed_tasks_30d_avg
2026-07-16,7.4,2.8,10,5,7,4,2,24,4.4,2.0,1,50.0,84.5,72.8,54.3,51.3,56.0,79.6,68.3,Good,Generated sample data,2026,3,7,July,29,16,Thursday,0,5,0,1.4,0.5599999999999999,0.4,4.8,1,1,0,0,0,0,0,1,70.14285714285714,72.02727272727272,69.71428571428571,70.76363636363637,73.3,76.58181818181818,74.15714285714286,76.7909090909091,70.28571428571429,71.19090909090909,61.25714285714286,60.8,6.814285714285715,6.945454545454546,5.028571428571429,5.245454545454546,6.142857142857143,6.181818181818182
2026-07-17,7.1,7.4,5,4,5,9,5,90,3.2,2.6,0,80.0,83.8,72.9,58.5,73.5,71.1,85.0,73.6,Good,Generated sample data,2026,3,7,July,29,17,Friday,0,1,0,2.8461538461538463,1.85,0.65,22.5,1,1,1,1,0,0,1,0,70.45714285714286,72.15833333333333,70.04285714285714,70.79166666666667,75.77142857142857,77.18333333333334,73.54285714285713,76.46666666666667,71.54285714285714,71.38333333333334,58.82857142857143,60.60833333333333,6.971428571428571,6.958333333333333,5.085714285714286,5.425,6.285714285714286,6.0
2026-07-18,8.0,6.9,10,6,8,9,7,60,2.0,5.6,1,60.0,80.0,81.5,72.0,63.6,68.4,80.0,75.8,Excellent,Generated sample data,2026,3,7,July,29,18,Saturday,1,4,0,1.2321428571428572,1.1500000000000001,0.9333333333333332,10.0,1,0,1,1,0,1,1,1,71.17142857142856,72.43846153846154,69.10000000000001,70.6076923076923,76.98571428571428,77.4,74.35714285714286,76.85384615384615,69.28571428571429,70.78461538461539,61.285714285714285,61.48461538461538,7.285714285714286,7.038461538461538,5.214285714285714,5.538461538461538,5.857142857142857,6.0
2026-07-19,7.9,2.7,8,3,9,4,8,63,3.4,6.4,0,37.5,80.0,77.5,22.5,33.0,40.3,71.9,56.9,Fair,Generated sample data,2026,3,7,July,29,19,Sunday,1,5,0,0.421875,0.9,2.1333333333333333,21.0,1,1,1,0,1,1,0,0,70.04285714285713,71.32857142857144,67.8,68.44285714285715,77.87142857142858,77.58571428571429,73.87142857142858,76.89999999999999,68.42857142857143,68.08571428571429,57.042857142857144,58.699999999999996,7.371428571428573,7.1000000000000005,4.8,5.335714285714286,5.857142857142857,5.785714285714286
2026-07-20,7.3,7.2,6,4,7,4,3,73,4.3,6.1,0,66.7,90.5,75.8,50.0,61.7,62.8,91.4,72.7,Good,Generated sample data,2026,3,7,July,30,20,Monday,0,2,0,1.1803278688524592,1.8,1.525,18.25,1,1,1,1,0,0,0,0,69.47142857142856,71.42,64.57142857142857,68.06666666666666,80.35714285714286,78.44666666666667,73.62857142857142,76.82666666666667,64.21428571428571,67.66,54.114285714285714,58.12,7.228571428571429,7.113333333333333,5.014285714285714,5.46,5.0,5.666666666666667
2026-07-21,8.3,2.9,10,7,9,8,7,79,3.9,4.8,0,70.0,83.3,85.1,27.2,57.2,58.3,75.6,65.0,Good,Generated sample data,2026,3,7,July,30,21,Tuesday,0,3,0,0.6041666666666666,0.41428571428571426,0.6857142857142857,11.285714285714286,1,1,1,0,0,1,1,0,70.01428571428572,71.01875,63.27142857142858,67.45625,82.42857142857143,78.75,77.58571428571427,77.34375,61.714285714285715,67.00625,50.98571428571428,56.1875,7.5,7.1875,5.071428571428571,5.3,5.142857142857143,5.75
2026-07-22,6.2,3.5,10,6,6,7,8,75,3.3,6.2,0,60.0,70.4,66.7,29.2,50.8,50.7,66.4,55.9,Fair,Generated sample data,2026,3,7,July,30,22,Wednesday,0,4,0,0.564516129032258,0.5833333333333334,1.0333333333333334,12.5,0,1,1,0,1,0,0,0,66.88571428571429,70.12941176470588,58.22857142857142,66.47058823529412,81.78571428571429,78.25882352941177,76.04285714285713,76.71764705882353,55.871428571428574,66.0529411764706,44.81428571428571,54.6,7.457142857142857,7.129411764705883,4.771428571428571,5.194117647058824,5.0,5.764705882352941
2026-07-23,5.7,3.7,6,6,6,4,9,15,2.9,2.7,1,100.0,51.2,52.6,60.1,88.0,76.7,51.6,59.7,Fair,Generated sample data,2026,3,7,July,30,23,Thursday,0,0,1,1.3703703703703702,0.6166666666666667,0.45,2.5,0,0,0,0,1,0,0,1,65.65714285714286,69.55000000000001,61.18571428571429,67.03888888888889,77.02857142857144,76.75555555555555,73.15714285714286,75.37777777777778,61.11428571428571,67.27222222222223,45.642857142857146,54.90555555555555,7.214285714285714,7.050000000000001,4.9,5.111111111111111,5.142857142857143,5.777777777777778
2026-07-24,7.9,4.9,8,8,10,5,6,24,4.3,5.1,1,100.0,76.2,80.6,64.1,89.2,83.7,75.9,76.5,Excellent,Generated sample data,2026,3,7,July,30,24,Friday,0,0,1,0.9607843137254903,0.6125,0.6375,3.0,1,1,0,1,0,1,0,1,66.07142857142857,69.91578947368421,62.98571428571428,67.91578947368421,75.94285714285715,76.72631578947369,74.25714285714285,75.65263157894738,63.357142857142854,68.42631578947368,46.442857142857136,55.38947368421053,7.328571428571429,7.094736842105264,4.542857142857144,5.1000000000000005,5.714285714285714,5.894736842105263
2026-07-25,7.9,7.3,5,5,4,10,4,56,4.5,5.4,0,100.0,91.1,74.5,51.5,85.5,78.2,91.2,76.7,Excellent,Generated sample data,2026,3,7,July,30,25,Saturday,1,0,1,1.3518518518518516,1.46,1.08,11.2,1,1,1,1,0,0,1,0,66.2,70.255,64.38571428571429,68.42999999999999,77.52857142857144,77.44500000000001,73.25714285714285,75.595,66.4857142857143,69.28,43.51428571428571,55.19500000000001,7.314285714285715,7.135000000000001,4.6000000000000005,5.21,5.571428571428571,5.85
2026-07-26,7.8,7.6,8,4,7,4,4,87,3.8,6.5,0,50.0,90.5,75.8,50.0,50.0,55.2,90.8,70.7,Good,Generated sample data,2026,3,7,July,30,26,Sunday,1,4,0,1.169230769230769,1.9,1.625,21.75,1,1,1,1,0,0,0,0,68.17142857142858,70.27619047619048,66.51428571428572,67.8,79.02857142857144,78.06666666666668,73.0142857142857,75.6047619047619,68.91428571428573,68.36190476190475,47.442857142857136,54.94761904761905,7.3,7.166666666666667,5.3,5.3238095238095235,5.714285714285714,5.761904761904762
2026-07-27,7.8,6.0,10,9,8,4,9,27,4.4,4.1,1,90.0,68.7,68.3,75.8,85.7,80.7,70.9,73.4,Good,Generated sample data,2026,3,7,July,31,27,Monday,0,1,0,1.4634146341463417,0.6666666666666666,0.4555555555555555,3.0,1,1,0,1,1,1,0,1,68.27142857142857,70.41818181818182,69.07142857142857,68.38636363636364,75.91428571428571,77.64090909090909,71.94285714285714,75.27272727272727,72.34285714285714,69.14999999999999,51.128571428571426,55.89545454545455,7.371428571428572,7.195454545454546,5.128571428571428,5.3545454545454545,6.428571428571429,5.909090909090909
2026-07-28,7.9,2.8,6,4,5,8,2,29,4.1,3.7,0,66.7,89.5,74.2,29.1,55.4,55.2,83.5,64.9,Good,Generated sample data,2026,3,7,July,31,28,Tuesday,0,2,0,0.7567567567567567,0.7,0.925,7.25,1,1,0,0,0,0,1,0,68.25714285714285,70.17826086956521,68.62857142857142,67.81304347826087,76.8,78.15652173913043,70.38571428571429,75.22608695652174,72.08571428571427,68.55217391304348,51.4,54.7304347826087,7.314285714285714,7.22608695652174,5.114285714285714,5.243478260869565,6.0,5.826086956521739
2026-07-29,5.9,2.2,9,7,8,9,6,59,4.3,5.3,1,77.8,74.3,78.7,41.1,66.8,65.3,67.4,65.3,Good,Generated sample data,2026,3,7,July,31,29,Wednesday,0,2,0,0.4150943396226416,0.31428571428571433,0.7571428571428571,8.428571428571429,0,1,1,0,0,1,1,1,69.6,69.97500000000001,70.71428571428571,67.70833333333333,77.35714285714286,77.99583333333334,72.10000000000001,75.37083333333334,74.37142857142855,68.47916666666667,53.1,54.1625,7.271428571428572,7.170833333333333,4.928571428571429,5.116666666666666,6.142857142857143,5.875
2026-07-30,6.8,2.6,6,4,6,5,2,74,2.9,5.1,1,66.7,90.1,73.5,44.9,60.2,60.6,83.1,69.3,Good,Generated sample data,2026,3,7,July,31,30,Thursday,0,2,0,0.5098039215686275,0.65,1.275,18.5,0,0,1,0,0,0,0,1,70.97142857142858,69.94800000000001,68.41428571428573,67.42399999999999,82.91428571428571,78.48,75.08571428571429,75.296,70.39999999999999,68.148,50.92857142857143,53.792,7.428571428571429,7.156000000000001,4.771428571428571,5.016,5.857142857142857,5.8
2026-07-31,7.8,5.7,5,4,10,10,5,48,3.5,5.7,1,80.0,87.8,93.9,69.2,76.8,79.1,87.3,83.1,Excellent,Generated sample data,2026,3,7,July,31,31,Friday,0,1,0,1.0,1.425,1.425,12.0,1,1,1,1,0,1,1,1,71.91428571428571,70.45384615384616,67.75714285714287,67.87307692307692,84.57142857142857,78.83846153846154,76.98571428571428,76.01153846153846,68.62857142857142,68.48076923076923,51.65714285714286,54.38461538461539,7.414285714285714,7.180769230769231,4.885714285714286,5.042307692307692,5.285714285714286,5.730769230769231
2026-08-01,6.7,3.8,7,5,4,5,5,55,4.2,4.5,1,71.4,81.6,62.3,56.4,66.9,64.4,77.7,67.8,Good,Generated sample data,2026,3,8,August,31,1,Saturday,1,2,0,0.8444444444444444,0.76,0.9,11.0,0,1,1,0,0,0,0,1,70.64285714285714,70.35555555555555,65.78571428571429,67.74444444444444,83.21428571428571,78.94074074074075,75.24285714285713,75.5037037037037,65.97142857142856,68.42222222222223,52.357142857142854,54.45925925925926,7.242857142857143,7.162962962962963,4.385714285714285,4.996296296296297,5.285714285714286,5.703703703703703
2026-08-02,7.6,3.6,6,4,9,5,6,22,2.7,2.2,0,66.7,72.6,75.3,39.5,58.5,59.0,69.7,62.7,Good,Generated sample data,2026,3,8,August,31,2,Sunday,1,2,0,1.6363636363636362,0.9,0.55,5.5,1,0,0,0,0,1,0,0,69.5,70.08214285714286,66.32857142857144,67.43214285714285,80.65714285714286,78.71428571428571,75.17142857142858,75.49642857142858,67.18571428571428,68.06785714285715,50.857142857142854,53.925000000000004,7.214285714285714,7.178571428571429,3.814285714285714,4.946428571428571,5.285714285714286,5.642857142857143
2026-08-03,6.9,3.5,6,6,9,4,7,47,3.6,4.8,1,100.0,77.1,76.0,53.2,86.0,79.1,72.3,71.9,Good,Generated sample data,2026,3,8,August,32,3,Monday,0,0,1,0.7291666666666667,0.5833333333333334,0.7999999999999999,7.833333333333333,0,1,1,0,0,1,0,1,69.28571428571429,70.1448275862069,66.10000000000001,67.8344827586207,81.85714285714286,78.65862068965517,76.27142857142857,75.51379310344828,67.22857142857143,68.68620689655172,47.62857142857143,53.9,7.085714285714286,7.1689655172413795,3.457142857142857,4.896551724137931,4.857142857142857,5.655172413793103
2026-08-04,6.6,5.8,7,5,7,4,3,47,3.2,2.1,1,71.4,86.6,73.8,79.1,73.7,74.5,87.8,79.7,Excellent,Generated sample data,2026,3,8,August,32,4,Tuesday,0,2,0,2.761904761904762,1.16,0.42000000000000004,9.4,0,1,1,1,0,0,0,1,71.4,70.46333333333334,68.85714285714286,68.05666666666667,81.44285714285714,78.92333333333333,76.21428571428571,75.45666666666666,69.84285714285714,68.85333333333332,54.771428571428565,54.74,6.9,7.15,3.8857142857142852,4.926666666666667,5.0,5.633333333333334
2026-08-26,8.0,6.0,8,5,1,1,1,50,3.0,2.0,2,62.5,100.0,55.0,95.0,72.2,72.2,100.0,83.0,Excellent,,2026,3,8,August,35,26,Wednesday,0,3,0,3.0,1.2,0.4,10.0,1,1,1,1,0,0,0,1,73.92857142857143,70.82,69.84285714285714,68.00333333333334,85.11428571428571,79.99666666666666,72.82857142857142,75.07666666666665,70.61428571428571,68.78333333333333,62.471428571428575,55.2,7.200000000000001,7.173333333333333,4.428571428571429,4.91,4.714285714285714,5.633333333333334
